same_section,stem_glove_softcosine,lemma_glove_softcosine,Stem_fasttext_softcosine,lemme_fasttext_softcosine,stem_tfidf_cosine,stem_cv_cosine,lemma_tfidf_cosine,lemma_cv_cosine
0,0.391914458,0.550852131,0.307312319,0.476925176,0.048412535,0.091161612,0.039693651,0.075167224
0,0.407443044,0.550275259,0.331691089,0.453153925,0.072740342,0.133445921,0.057551618,0.107450298
1,0.330539101,0.391164666,0.233152362,0.286798256,0.037601866,0.071376798,0.023680374,0.045385139
1,0.583863329,0.614748769,0.344584722,0.391058491,0.044047938,0.083225412,0.035207664,0.067117394
1,0.582654837,0.599761522,0.370102791,0.397663866,0.032195505,0.061300981,0.023493106,0.045090271
1,0.457814372,0.553654259,0.255939256,0.299929761,0.024685628,0.047573761,0.018242591,0.035391471
0,0.331225613,0.458719458,0.238410127,0.290249519,0.017463162,0.033833248,0.010823381,0.021101659
0,0.374170334,0.466843642,0.233409662,0.281788597,0.020486848,0.039666441,0.021556571,0.041694827
0,0.402550248,0.498430244,0.278491064,0.285254897,0.041973958,0.07877734,0.035642102,0.067366845
1,0.473233123,0.595999404,0.290753376,0.374704676,0.042592227,0.079669566,0.035201338,0.066318535
1,0.483775516,0.515594928,0.250804781,0.275227011,0.011342074,0.022106188,0.007765691,0.015214515
0,0.522597253,0.625767899,0.447715243,0.504127504,0.100343007,0.174081564,0.104233753,0.180090068
1,0.290173882,0.426318421,0.15116159,0.231560012,0.028874607,0.05516979,0.012346944,0.024065548
1,0.36080766,0.449393841,0.223953343,0.282072678,0.024663634,0.047205899,0.024827737,0.047571877
1,0.349155234,0.503540748,0.213439503,0.289811827,0.026284446,0.050333941,0.028419639,0.054283729
1,0.389155178,0.487488064,0.233707146,0.249319703,0.008753377,0.017131603,0.004531563,0.008908708
0,0.560728438,0.584319487,0.408795026,0.415472255,0.045209351,0.085524994,0.045836907,0.086657824
1,0.280214235,0.281680198,0.097541833,0.10591748,0.004144133,0.008151121,0.004336978,0.008529269
1,0.243667124,0.38740181,0.15198862,0.254677021,0.019149739,0.036947265,0.015316136,0.02971754
0,0.308037635,0.40086005,0.195676306,0.264872085,0.022788024,0.043681758,0.013094634,0.025416428
1,0.49681745,0.61138806,0.348848548,0.380393755,0.058878129,0.109028523,0.030462432,0.058267158
1,0.298088354,0.366589916,0.204750486,0.235671231,0.018047606,0.034783924,0.006135939,0.012048411
0,0.353622791,0.36162262,0.154046315,0.160427053,0.009622171,0.018826083,0.004962299,0.009749256
1,0.645709538,0.642698425,0.416256868,0.432450334,0.063239602,0.116456839,0.04155797,0.078589254
0,0.612611361,0.717529119,0.398889263,0.505691477,0.048868201,0.091073576,0.042367115,0.079724334
1,0.560001613,0.611483595,0.376843009,0.423594844,0.036170716,0.06852388,0.029512264,0.056447095
0,0.627243384,0.711237293,0.4188338,0.556490998,0.062691493,0.115895922,0.055533309,0.103414717
1,0.581320977,0.631403048,0.296207957,0.364157037,0.039046863,0.074075485,0.024143033,0.046513938
0,0.337788033,0.380757398,0.206991463,0.252885876,0.03466866,0.065938047,0.033845928,0.064410128
0,0.283404902,0.340338051,0.135383276,0.184551229,0.0119535,0.023218173,0.006390448,0.012534321
1,0.529034551,0.57048115,0.32685542,0.375942116,0.037006852,0.070126341,0.028125758,0.054073807
1,0.295621599,0.363960112,0.186928342,0.227873888,0.020944201,0.04045567,0.021412188,0.041344912
0,0.424840947,0.51218621,0.346911231,0.379802495,0.069858925,0.127381166,0.069858925,0.127381166
0,0.349945458,0.419662168,0.247867686,0.293360596,0.02920268,0.055901699,0.025557473,0.049104638
0,0.239471773,0.297211595,0.173984574,0.21491739,0.015922935,0.030915926,0.016923831,0.032824398
1,0.401149695,0.533573072,0.276218551,0.431476391,0.047258532,0.087988269,0.047442301,0.088331923
0,0.336515608,0.467210356,0.256027912,0.346735176,0.046992662,0.087235674,0.043482528,0.081788817
1,0.219812893,0.392015344,0.105749139,0.220495578,0.007885011,0.015454271,0.013017226,0.02530227
1,0.309284775,0.3952391,0.165946361,0.287855913,0.017798525,0.034448641,0.012435248,0.024225079
0,0.421048935,0.478787127,0.253244591,0.291188873,0.033183634,0.062994079,0.02839479,0.05424538
0,0.408698582,0.539197982,0.225038184,0.353545996,0.022805741,0.043986027,0.020877161,0.040337559
0,0.274419614,0.496827451,0.185263756,0.34111297,0.028537831,0.054418596,0.026533334,0.050709255
0,0.368098259,0.547977457,0.343373523,0.440952845,0.058681255,0.108885132,0.053898094,0.100567291
1,0.30617388,0.487482847,0.253104074,0.3372874,0.030950034,0.058933751,0.029679894,0.056569101
0,0.427723189,0.522972835,0.332257199,0.413163363,0.033899718,0.064499973,0.027054607,0.051807809
0,0.399164851,0.569345946,0.289980411,0.421923589,0.041487395,0.078452612,0.038974324,0.073870791
1,0.338537625,0.432111996,0.213622445,0.335790124,0.041438937,0.07807498,0.042584864,0.080115449
0,0.239852326,0.181598047,0.107859,0.178628,0.022980809,0.044395144,0.006241243,0.012253577
0,0.243418848,0.289551884,0.13824,0.16892,0.012493131,0.024375747,0.013109512,0.0255655
0,0.189014483,0.322212667,0.194593,0.285826,0.038605837,0.073331604,0.040175258,0.076231197
1,0.24550295,0.345571837,0.134016,0.203815,0.011148183,0.021767438,0.011985455,0.023382619
0,0.686453672,0.388732433,0.494146,0.534506,0.150966316,0.250935803,0.154146165,0.258785282
0,0.367283782,0.357043917,0.129473,0.219362,0.022810741,0.044036771,0.024051817,0.04639052
0,0.489606739,0.705545589,0.351202,0.352623,0.160145777,0.270599908,0.155735274,0.264336362
0,0.471194233,0.413510677,0.419164,0.383678,0.135380037,0.232642035,0.135081591,0.232364634
0,0.484058962,0.547253665,0.420388,0.488141,0.084582198,0.153855444,0.102682776,0.183653452
0,0.371839454,0.504660083,0.303677,0.329588,0.062414839,0.110360714,0.065256169,0.114846087
0,0.201956458,0.514584235,0.132825,0.131381,0.019674554,0.038025288,0.020051626,0.038737582
0,0.199029884,0.40674793,0.118294,0.089744,0.015115678,0.029424494,0.00750251,0.014712247
0,0.174665074,0.486318927,0.078095,0.196982,0.011099514,0.021675203,0.017300806,0.033570407
1,0.281521528,0.237967456,0.212502,0.260186,0.049154433,0.090597651,0.042328614,0.078533493
0,0.391990065,0.364775124,0.327154,0.394776,0.046246779,0.085749293,0.038470584,0.071989035
0,0.439206741,0.228641268,0.402326,0.40971,0.115187518,0.200033066,0.108113084,0.188712839
0,0.343742158,0.341724106,0.212334,0.25818,0.064628063,0.116539645,0.052856469,0.096116131
0,0.361379138,0.361637977,0.2935,0.352128,0.059484675,0.111013259,0.05171755,0.097230559
0,0.144327872,0.468491414,0.133492,0.157744,0.024460968,0.046920844,0.025548446,0.048976736
0,0.146170152,0.471086546,0.095422,0.105071,0.006284135,0.01233722,0,0
0,0.422944857,0.435860296,0.380261,0.503043,0.085230383,0.153579766,0.104362872,0.183554311
0,0.110967523,0.4476528,0.0683,0.1855,0.011382532,0.022230457,0.011857817,0.023144986
0,0.224702695,0.223981193,0.144833,0.155383,0.01018998,0.019918501,0.010848782,0.021190436
0,0.370092371,0.311163639,0.279632,0.320877,0.0459135,0.086611379,0.035062019,0.066958948
0,0.353660279,0.328929487,0.254221,0.28753,0.054669071,0.10187387,0.054334174,0.101338918
1,0.405552267,0.506102489,0.263657,0.291791,0.044140444,0.08264536,0.030193579,0.057353933
0,0.240343599,0.223400805,0.183135,0.165185,0.023224052,0.044797018,0.017723384,0.034376194
0,0.231628467,0.343708406,0.180368,0.219927,0.025229054,0.048567873,0.025939621,0.049898746
0,0.490137474,0.819644627,0.410914,0.397485,0.105270584,0.18461583,0.111410282,0.194901782
0,0.286872683,0.416042966,0.179962,0.26669,0.041262271,0.076902185,0.039419693,0.073960026
0,0.192120283,0.211861443,0.140777,0.082853,0.015722063,0.030561373,0.011103543,0.021686668
0,0.382560181,0.419834816,0.364988,0.354657,0.116970577,0.20597146,0.074049166,0.135526185
0,0.578766725,0.461330238,0.407832,0.435383,0.044923189,0.084777489,0.044923189,0.084777489
0,0.209445218,0.407309001,0.160849,0.19018,0.003655263,0.007194431,0.003734215,0.007349167
0,0.163300589,0.245849988,0.103478,0.099043,0.006160505,0.012091271,0.006467598,0.012689783
0,0.391799402,0.416170568,0.289506,0.250602,0.03778807,0.071832853,0.038166583,0.072532357
1,0.165320003,0.214766537,0.037924,0.08571,0,0,0,0
0,0.347806481,0.314967562,0.291207,0.271744,0.032244986,0.060583925,0.028767897,0.0541354
0,0.137666007,0.546809027,0.083371,0.134464,0,0,0,0
0,0.492987378,0.332762641,0.462415,0.490616,0.119374376,0.208313242,0.111403988,0.195982374
0,0.679225127,0.232737748,0.621901,0.627665,0.234699893,0.367632142,0.223068697,0.353473392
0,0.538260329,0.396642238,0.497449,0.538947,0.248994233,0.371274308,0.239048707,0.35966447
0,0.714597157,0.334963004,0.648794,0.654862,0.28136761,0.422302799,0.263098972,0.400163365
1,0.168454095,0.286720329,0.109761,0.120176,0,0,0,0
0,0.29907211,0.262372746,0.235878,0.23284,0.039501813,0.074799028,0.040004882,0.075728245
0,0.205192893,0.223800053,0.142684,0.253132,0,0,0,0
0,0.266797927,0.087887621,0.128458,0.178542,0.015460407,0.030006002,0.01059161,0.020646003
1,0.356898385,0.390895112,0.237192,0.28001,0.035883203,0.068326672,0.021608084,0.041594517
0,0.444056865,0.421323817,0.397853,0.417894,0.090088442,0.161388277,0.083008376,0.149955902
0,0.413721876,0.512982952,0.358924,0.37053,0.059636532,0.110782342,0.049824897,0.093483026
0,0.269231042,0.477208029,0.25473,0.262583,0.070718967,0.130188911,0.059269522,0.110399976
1,0.232695638,0.312185282,0.202827,0.187906,0.005412889,0.01062988,0.005664773,0.011122789
0,0.559524758,0.473833241,0.508311,0.531576,0.131499666,0.228571429,0.118489094,0.20896349
0,0.474912193,0.488211533,0.407152,0.455434,0.101139406,0.180516181,0.098765454,0.176975853
0,0.493692385,0.584412481,0.473575,0.515072,0.124261485,0.216319304,0.117736543,0.206275677
0,0.500949022,0.460057151,0.404969,0.389458,0.07262795,0.131168046,0.041620077,0.077761579
0,0.463041513,0.558769461,0.444267795,0.518807707,0.114239579,0.199264082,0.121159853,0.209719356
0,0.343188512,0.40032636,0.286163483,0.348850047,0.060228934,0.11170415,0.061592576,0.114075863
0,0.495523291,0.518709014,0.448659348,0.454322018,0.078312575,0.141877987,0.073487937,0.133771211
0,0.520300238,0.5814896,0.407060257,0.449972368,0.073634521,0.133581029,0.060706244,0.1116098
0,0.380259756,0.483633382,0.221349645,0.303379368,0.032332448,0.060980144,0.013659871,0.026581741
0,0.523656191,0.58177198,0.488757898,0.551762764,0.149435833,0.254671477,0.096889676,0.172034887
1,0.209072861,0.317531975,0.173816462,0.2341698,0.026813575,0.050230129,0.015314208,0.029614263
0,0.369393139,0.452386604,0.210034911,0.272906463,0.019510669,0.037451753,0.013314945,0.025894443
0,0.397774135,0.426544361,0.358956341,0.377251421,0.083524916,0.152008378,0.059096575,0.10957876
0,0.492554182,0.59774517,0.432174846,0.538707576,0.094691653,0.171190596,0.082650266,0.150670795
0,0.468194963,0.565765961,0.410218826,0.472420562,0.114423216,0.198987335,0.10967347,0.191888041
1,0.46635145,0.513245943,0.353035307,0.431888656,0.124624442,0.21821789,0.118090523,0.208514414
0,0.374622647,0.378929099,0.267946311,0.276151195,0.075574848,0.13886593,0.071504841,0.131859134
0,0.31980091,0.418587796,0.292007961,0.353276888,0.041496523,0.077170426,0.067171418,0.121772047
0,0.237639104,0.309737201,0.235834871,0.297762964,0.036944127,0.069061388,0.0518075,0.095590981
0,0.405512021,0.461078605,0.446454375,0.469053103,0.121123003,0.208921754,0.109144186,0.190857492
0,0.628927869,0.665415651,0.556683648,0.591550983,0.15353358,0.261662219,0.130598122,0.22588657
0,0.536246592,0.608306328,0.479590042,0.549682082,0.123785225,0.216273423,0.107503846,0.191127393
0,0.354836928,0.42164957,0.281643831,0.355006719,0.073315143,0.133321483,0.076577203,0.138888889
1,0.501445818,0.537815144,0.385856913,0.384499928,0.070399157,0.129242566,0.071760659,0.131590339
0,0.381455129,0.545074643,0.29529886,0.346781968,0.036465883,0.069032242,0.03313286,0.063263631
0,0.44452298,0.536626612,0.395523674,0.425292358,0.083164573,0.149399289,0.073788955,0.134640283
0,0.478672411,0.576270923,0.408991826,0.435991758,0.103572193,0.179824748,0.092293844,0.161318458
1,0.352433928,0.463526679,0.253859,0.291015303,0.046942679,0.087762078,0.049712033,0.09278104
0,0.41606416,0.4347279,0.228661396,0.258921992,0.022720178,0.043651893,0.009105506,0.017740147
0,0.485152734,0.530826552,0.221742625,0.328374606,0.029603174,0.056151448,0.011499218,0.022346159
0,0.462987269,0.525922704,0.329057037,0.376634115,0.057943818,0.107149691,0.065728643,0.120615413
0,0.203724115,0.386040259,0.164322623,0.263851441,0.006505422,0.012766073,0.034516414,0.065835082
0,0.120281725,0.219080047,0.087275349,0.118826052,0.005728065,0.011246609,0.006139172,0.012049067
